accver	date	cc	type	title	organism	collection_date	country
JX123028.1	2011-04-21	CN	55	Human adenovirus 55 isolate CQ-1657, complete genome	Human adenovirus 55	22-Apr-2011	China
JX123027.1	2010-08-17	CN	55	Human adenovirus 55 isolate CQ-814, complete genome	Human adenovirus 55	18-Aug-2010	China
FJ643676.1	2006-03-31	CN	55	Human adenovirus 55 strain QS-DLL, complete genome	Human adenovirus 55	Apr-2006	China: Shanxi, Qishan
MN052861.1	2018-04-25	CN	55	Human adenovirus 55, complete genome	Human adenovirus 55	26-Apr-2018	China
MK886831.1	2015-08-30	CN	55	Human adenovirus 55 isolate HAdV-B55/CHN/BJDX01/2015, complete genome	Human adenovirus 55	31-Aug-2015	China
MT513753.1	2005-12-31	US	55	Human adenovirus 55 isolate CHOP6887, complete genome	Human adenovirus 55	2006	USA
MN654377.1	2008-12-31	KR	55	Human adenovirus 55 isolate WPAFB48, complete genome	Human adenovirus 55	2009	South Korea
MN654378.1	2008-12-31	KR	55	Human adenovirus 55 isolate WPAFB25, complete genome	Human adenovirus 55	2009	South Korea
MN654379.1	2008-12-31	KR	55	Human adenovirus 55 isolate WPAFB24, complete genome	Human adenovirus 55	2009	South Korea
MN654380.1	1999-12-31	EG	55	Human adenovirus 55 isolate NAMRU3-E3, complete genome	Human adenovirus 55	2000	Egypt
MN654381.1	1999-12-31	EG	55	Human adenovirus 55 isolate NAMRU3-E4, complete genome	Human adenovirus 55	2000	Egypt
MN654382.1	2001-12-31	EG	55	Human adenovirus 55 isolate NAMRU3-E66, complete genome	Human adenovirus 55	2002	Egypt
MN654383.1	1999-12-31	EG	55	Human adenovirus 55 isolate NAMRU3-E72, complete genome	Human adenovirus 55	2000	Egypt
MN654384.1	2007-12-31	EG	55	Human adenovirus 55 isolate NAMRU3 2008-905223, complete genome	Human adenovirus 55	2008	Egypt
MN654385.1	1999-12-31	EG	55	Human adenovirus 55 isolate NAMRU3-E6, complete genome	Human adenovirus 55	2000	Egypt
MN654386.1	2006-12-31	EG	55	Human adenovirus 55 isolate NAMRU3 2007-905716, complete genome	Human adenovirus 55	2007	Egypt
MN654387.1	2008-12-31	EG	55	Human adenovirus 55 isolate NAMRU3 2009-908968, complete genome	Human adenovirus 55	2009	Egypt
MN654388.1	2004-12-31	SG	55	Human adenovirus 55 isolate SNG1218, complete genome	Human adenovirus 55	2005	Singapore
MN654389.1	2004-12-31	SG	55	Human adenovirus 55 isolate SNG1223, complete genome	Human adenovirus 55	2005	Singapore
MN654391.1	2004-12-31	EG	55	Human adenovirus 55 isolate NAMRU3 2005-908017, complete genome	Human adenovirus 55	2005	Egypt
MN654392.1	1996-12-31	US	55	Human adenovirus 55 isolate CDC97026382, complete genome	Human adenovirus 55	1997	USA
MN654393.1	2011-12-31	JP	55	Human adenovirus 55 isolate WPAFB415, complete genome	Human adenovirus 55	2012	Japan
MN654394.1	1975-12-31	US	55	Human adenovirus 55 isolate CADOH VRDL 76-0669, complete genome	Human adenovirus 55	1976	USA
MN654395.1	1968-12-31	ES	55	Human adenovirus 55 isolate HAdV-11/14 strain 273, complete genome	Human adenovirus 55	1969	Spain
MN654376.1	2008-12-31	KR	55	Human adenovirus 55 isolate WPAFB75, complete genome	Human adenovirus 55	2009	South Korea
MN654375.1	2008-12-31	KR	55	Human adenovirus 55 isolate WPAFB69, complete genome	Human adenovirus 55	2009	South Korea
MN654390.1	2004-12-31	EG	55	Human adenovirus 55 isolate NAMRU3 2005-909685, complete genome	Human adenovirus 55	2005	Egypt
MT806170.1	2019-04-30	CN	55	Human adenovirus 55 strain HB107/CHN/2019, complete genome	Human adenovirus 55	May-2019	China
MT806171.1	2019-04-30	CN	55	Human adenovirus 55 strain HB111/CHN/2019, complete genome	Human adenovirus 55	May-2019	China
MT806173.1	2019-04-30	CN	55	Human adenovirus 55 strain HB203/CHN/2019, complete genome	Human adenovirus 55	May-2019	China
MT806175.1	2019-04-30	CN	55	Human adenovirus 55 strain HB208/CHN/2019, complete genome	Human adenovirus 55	May-2019	China
MT806174.1	2019-04-30	CN	55	Human adenovirus 55 strain HB204/CHN/2019, complete genome	Human adenovirus 55	May-2019	China
MT806172.1	2019-04-30	CN	55	Human adenovirus 55 strain HB201/CHN/2019, complete genome	Human adenovirus 55	May-2019	China
JX423385.1	2001-04-30	EG	55	Human adenovirus B strain human/EGY/ak37_AdV11a/2001/55[P14H11F14], complete genome	Human mastadenovirus B	01-May-2001	Egypt
JX423384.1	2004-12-31	AR	55	Human adenovirus B strain human/ARG/ak36_AdV11a/2005/55[P14H11F14], complete genome	Human mastadenovirus B	01-Jan-2005	Argentina
MK883606.1	2012-02-27	CN	55	Human mastadenovirus B isolate Human/China/Shanghai/3961/2012/55[P14H11F14], complete genome	Human mastadenovirus B	28-Feb-2012	China
